265,,Canada West Coast_168,,FALSE,,0,,,This indicates one very large event,Rock avalanche
266,,Canada West Coast_169,,FALSE,,0,,,This indicates several very large events,Rock avalanche
267,,Canada West Coast_170,,FALSE,,0,,,Good examples - forming a cone or fan delta,Rock avalanche
268,,Canada West Coast_171,,FALSE,,0,,,Apron of many avalnches,Rock avalanche
269,,Canada West Coast_172,,FALSE,,0,,,This is a very large avalanche deposits,Rock avalanche
270,,Canada West Coast_173,,FALSE,,0,,,This slide in part of an alluvial fan,Undifferentiated slide
271,,Canada West Coast_174,,FALSE,,0,,,The slide is from several events,Rock avalanche
272,,Canada West Coast_175,,FALSE,,0,,,The slide is from several events,Rock avalanche
273,,Canada West Coast_176,,FALSE,,0,,,Good example of a large fan delta,Fan delta
274,,Canada West Coast_177,,FALSE,,0,,,Large debris flow area,"Debris flow and turbidity current channels, gullies and lobes"
275,,Canada West Coast_178,,FALSE,,0,,,This area shows a very large bedrock creep,Bedrock creep/sackung
276,,Canada West Coast_179,,FALSE,,0,,,,Fan delta
277,,Canada West Coast_180,,FALSE,,0,,,,Undifferentiated slide
278,,Canada West Coast_181,,FALSE,,0,,,,Rock avalanche
279,,Canada West Coast_182,,FALSE,,0,,,There are several forming an apron,Rock avalanche
280,,Canada West Coast_183,,FALSE,,0,,,"There are several large, partly buried slides events",Rock avalanche
281,,Canada West Coast_184,,FALSE,,0,,,Small fan delta,Fan delta
282,,Canada West Coast_185,,FALSE,,0,,,Ephemeral stream,Fan delta
283,,Canada West Coast_186,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
284,,Canada West Coast_187,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
285,,Canada West Coast_188,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
286,,Canada West Coast_189,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
287,,Canada West Coast_190,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
288,,Canada West Coast_191,,FALSE,,0,,,Large block within the flow ,"Debris flow and turbidity current channels, gullies and lobes"
289,,Canada West Coast_192,,FALSE,,0,,,Showing three merging fan deltas,Fan delta
290,,Canada West Coast_193,,FALSE,,0,,,,Translational slide
291,,Canada West Coast_194,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
292,,Canada West Coast_195,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
293,,Canada West Coast_196,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
294,,Canada West Coast_197,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
295,,Canada West Coast_198,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
296,,Canada West Coast_199,,FALSE,,0,,,,Submarine alluvial fan/composite slide
297,,Canada West Coast_200,,FALSE,,0,,,,"Debris flow; Debris flow and turbidity current channels, gullies and lobes"
298,,Canada West Coast_201,,FALSE,,0,,,,Submarine alluvial fan/composite slide
299,,Canada West Coast_202,,FALSE,,0,,,,Delta and channel complex
300,,Canada West Coast_203,,FALSE,,0,,,,Rock avalanche
301,,Canada West Coast_204,,FALSE,,0,,,,Debris flow - inferred Pleistocene age
302,,Canada West Coast_205,,FALSE,,0,,,,Debris flow - inferred Pleistocene age
303,,Canada West Coast_206,,FALSE,,0,,,,Debris flow - inferred Pleistocene age
304,,Canada West Coast_207,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
305,,Canada West Coast_208,,FALSE,,0,,,,Debris flow - inferred Pleistocene age
306,,Canada West Coast_209,,FALSE,,0,,,,Debris flow - inferred Pleistocene age
307,,Canada West Coast_210,,FALSE,,0,,,,Submarine alluvial fan/composite slide
308,,Canada West Coast_211,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
309,,Canada West Coast_212,,FALSE,,0,,,,Submarine alluvial fan/composite slide
310,,Canada West Coast_213,,FALSE,,0,,,,Fan delta
311,,Canada West Coast_214,,FALSE,,0,,,Alluvial fan,Fan delta
312,,Canada West Coast_215,,FALSE,,0,,,,Fan delta
313,,Canada West Coast_216,,FALSE,,0,,,,Fan delta
314,,Canada West Coast_217,,FALSE,,0,,,,Submarine alluvial fan/composite slide
315,,Canada West Coast_218,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
316,,Canada West Coast_219,,FALSE,,0,,,,Submarine alluvial fan/composite slide
317,,Canada West Coast_220,,FALSE,,0,,,Showing an old slide event,Submarine alluvial fan/composite slide
318,,Canada West Coast_221,,FALSE,,0,,,,Fan delta
319,,Canada West Coast_222,,FALSE,,0,,,,Translational slide
320,,Canada West Coast_223,,FALSE,,0,,,,Submarine alluvial fan/composite slide
321,,Canada West Coast_224,,FALSE,,0,,,,Submarine alluvial fan/composite slide
322,,Canada West Coast_225,,FALSE,,0,,,,Submarine alluvial fan/composite slide
323,,Canada West Coast_226,,FALSE,,0,,,,Submarine alluvial fan/composite slide
324,,Canada West Coast_227,,FALSE,,0,,,Showing an old slide event and drape,Translational slide
325,,Canada West Coast_228,,FALSE,,0,,,,Debris flow - inferred Pleistocene age
326,,Canada West Coast_229,,FALSE,,0,,,,Debris flow - inferred Pleistocene age
327,,Canada West Coast_230,,FALSE,,0,,,,Debris flow - inferred Pleistocene age
328,,Canada West Coast_231,,FALSE,,0,,,,Fan delta
329,,Canada West Coast_232,,FALSE,,0,,,,Fan delta
330,,Canada West Coast_233,,FALSE,,0,,,,Submarine alluvial fan/composite slide
331,,Canada West Coast_234,,FALSE,,0,,,,Submarine alluvial fan/composite slide
